,0
alimentaire,0.5833655259192341
Chambolle,0.28499407001900023
irrationalité,0.26581055651178015
panique,0.25896366417770167
circonscrire,0.2221296637908172
assiette,0.1997960702835253
aliment,0.18588707621597522
Marc,0.17312370116162862
évoqu,0.17126114073787863
danger,0.1603064235037699
menacer,0.15897300754748292
peur,0.1504188240623809
mort,0.1409423618727293
actuellement,0.13316157572263443
conférence,0.12544634557174406
sécurité,0.12526794173304245
pose,0.11742579717471009
delà,0.11656901619363168
titre,0.11518310477198085
comportement,0.11371544619821364
au,0.11155438663146253
mener,0.1014364431843092
risque,0.09616322523790449
ici,0.09234617471005423
venir,0.08383316427744789
action,0.07573774620240015
question,0.06529283573424381
faire,0.06241466094929557
