,0
service,43
public,28
tarifaire,26
tarification,22
social,22
local,17
politique,16
accès,15
collectivité,15
tarif,14
logique,13
volonté,12
prix,12
place,12
usager,11
ressource,10
mettre,10
revenu,10
grille,10
famille,9
quotient,9
faire,9
ici,9
solidarité,8
dernier,8
droit,8
autant,8
analyse,7
être,7
matière,7
enjeu,7
nouveau,7
familial,6
principe,6
objet,6
hui,6
gratuité,6
bien,6
aujourd,6
compte,6
garantir,6
contribuable,6
choix,6
coût,6
impôt,6
élément,6
charge,5
prendre,5
statut,5
évolution,5
ville,5
caf,5
réflexion,5
fois,5
refonte,5
regard,5
exemple,5
nombre,5
face,4
catégorie,4
récent,4
référence,4
référentiel,4
donner,4
différenciation,4
revenir,4
imposer,4
question,4
figure,4
demeurer,4
présente,4
france,4
grand,4
solidaire,4
global,4
effort,4
égalité,4
trouver,4
amener,4
marqueur,4
ambition,4
vie,4
appliquer,4
ailleurs,4
vivre,4
modulation,3
simplification,3
recherche,3
vision,3
mise,3
fondement,3
situation,3
généraliser,3
personne,3
habitant,3
questionner,3
fort,3
davantage,3
fonction,3
financier,3
national,3
économique,3
domicile,3
administratif,3
région,3
élu,3
accompagner,3
accessible,3
non,3
ensemble,3
époque,3
nécessité,3
variable,3
terme,3
travailler,3
budget,3
taux,3
travers,3
un,3
carte,3
privilégier,3
autour,3
prestation,3
territorial,3
important,3
jusqu,3
système,3
réel,3
bénéficier,3
iniquité,3
panier,2
linéaire,2
restauration,2
outil,2
feuille,2
mécanique,2
intéressant,2
retravailler,2
intérêt,2
exercer,2
neutre,2
nom,2
liberté,2
revient,2
participe,2
levier,2
etat,2
essentiellement,2
ensuite,2
enjeux,2
pourcent,2
opérer,2
intégrer,2
manifester,2
moyen,2
gestion,2
quasi,2
manifeste,2
préserver,2
peser,2
présenter,2
légitimer,2
général,2
permettre,2
mener,2
point,2
minimum,2
juste,2
loi,2
imposition,2
financeur,2
incarner,2
payeur,2
individualisme,2
formalité,2
payer,2
redéfinition,2
population,2
pauvre,2
montée,2
inscription,2
fiscal,2
marchand,2
internet,2
pratique,2
développer,2
education,2
agir,2
sdiss,2
culturel,2
beaucoup,2
crise,2
coupler,2
analyser,2
angers,2
correctif,2
anodin,2
cité,2
construire,2
construction,2
classe,2
considération,2
conseil,2
cohésion,2
venir,2
sphère,2
appréhendé,2
conception,2
communauté,2
uniquement,2
concentrique,2
strict,2
attention,2
substituer,2
sur,2
scolaire,2
secteur,2
bâtir,2
résident,2
traduire,2
traditionnellement,2
déterminer,2
bénéficiaire,2
caractéristique,2
bénéfice,2
département,2
définition,2
décision,2
texte,2
acceptable,2
élevé,2
égal,2
utilisateur,2
différencier,2
échelon,2
demeure,2
tendre,2
distinction,2
transfert,2
devoir,2
affiner,2
transport,2
pouvoir,1
transversal,1
unitaire,1
usage,1
travail,1
pose,1
uniforme,1
travailleur,1
plafond,1
unique,1
pousser,1
pourcentage,1
union,1
poser,1
possibilité,1
positionnement,1
vise,1
petit,1
ère,1
optique,1
état,1
opération,1
étape,1
équilibre,1
organique,1
émaner,1
orienter,1
égalitaire,1
origine,1
éco,1
parallèle,1
parisien,1
part,1
passage,1
utiliser,1
passer,1
vérité,1
patent,1
vue,1
patrimoine,1
voler,1
pays,1
voie,1
premier,1
vis,1
pensée,1
verser,1
vendôme,1
varier,1
transcender,1
profiter,1
traiter,1
refont,1
santé,1
responsabl,1
responsabiliser,1
rennes,1
remettre,1
sensibilité,1
servir,1
révolu,1
seuil,1
reconstruction,1
rechercher,1
signification,1
similaire,1
simulation,1
saisir,1
retenir,1
site,1
risque,1
occulter,1
réaction,1
réfléchir,1
règle,1
réforme,1
rural,1
riche,1
résiduel,1
référer,1
régional,1
revirement,1
réglementer,1
réserve,1
résidence,1
recette,1
souci,1
pression,1
tenir,1
provenance,1
prouver,1
prospectif,1
réduire,1
tendance,1
procéduresla,1
prochain,1
précepte,1
problématique,1
pro,1
territoire,1
timbre,1
toucher,1
prise,1
temps,1
tarifaires,1
rapidement,1
purement,1
soucieux,1
raison,1
strasbourg,1
quotidien,1
stratégique,1
strictement,1
présupposer,1
prélever,1
président,1
symbolique,1
préservation,1
séparer,1
taille,1
présent,1
opposition,1
13,1
occasion,1
coefficient,1
conceptuel,1
concept,1
compétence,1
compter,1
composition,1
comportement,1
complexité,1
compatibilité,1
commune,1
commercial,1
combiner,1
citoyen,1
caractériser,1
ciblée,1
chômage,1
châteauroux,1
chose,1
cher,1
chantier,1
changement,1
cgct,1
certainement,1
centralité,1
ccas,1
concerner,1
conclusion,1
condition,1
conditionner,1
donne,1
