,0
funéraire,6.789144048541272
cimetière,6.586072824362615
robot,6.300655758508726
service,6.201345938800322
robotique,5.985294327793601
public,5.928586350272414
ville,5.329948530705285
usager,4.944113720507671
social,4.592249124172118
espace,4.169505828577796
être,3.621457826778109
faire,3.59765794668126
numérique,3.5608272266274943
usage,3.468609296395328
cérémonie,3.322815175345088
mort,3.0462414978947714
innovation,3.035729213944597
eau,2.9610260071468204
crémation,2.890216882985431
violence,2.8335023451093915
comportement,2.7804707909609814
nouveau,2.6700988183597434
personne,2.6610003457664027
question,2.6058764046941465
intelligent,2.566787277634543
grand,2.5481312448731526
lieu,2.532107816230277
politique,2.5132843040984576
citoyen,2.5079161099068967
technique,2.48000077141932
société,2.4701769648819947
projet,2.4210366479598777
relation,2.399826351626122
bien,2.393650368295937
mettre,2.381383937520442
pratique,2.3460080508684964
vie,2.3418671923526504
aujourd,2.2664642897600396
hui,2.264180059672061
exemple,2.25035929955618
agent,2.247682967102093
professionnel,2.227541091071681
pouvoir,2.22302905866829
travail,2.2209110003285724
défunt,2.1964469123074783
falloir,2.1783340659932415
etc,2.145709015196296
rituel,2.1168385220604367
famille,2.108834605574026
dispositif,2.0801717404654667
rite,2.0625526224564346
individu,2.016621663371341
temps,2.012097850889856
non,1.9604573863194386
besoin,1.959992538039748
action,1.9392427677631623
technologie,1.9285228850859526
droit,1.9235834698703334
évolution,1.9144902558970704
situation,1.8871232777314237
urbain,1.881704257814811
consommation,1.8691647775474107
demande,1.8508378120701634
risque,1.8482848115226445
gestion,1.8438727877871774
prendre,1.8189362185077753
Lyon,1.7978539226221841
étude,1.777481606967174
habitant,1.770030972831263
nudge,1.7689284057189272
utilisateur,1.7580447395277834
entreprise,1.7489476992644482
attente,1.7471829469157094
objet,1.7375077797433822
permettre,1.7281507634341207
obsèque,1.7247912664990652
place,1.6969572943136557
incivilité,1.687258848414016
information,1.6782646085526902
expérimentation,1.6556592545367501
agir,1.6505640159029544
il,1.6438677038073028
système,1.6263145821293996
travailler,1.6176886228864458
développer,1.6113543764434233
approche,1.593153033536485
forme,1.5846593232646053
jeu,1.5844413137954927
religieux,1.5600729881292947
année,1.5475070217876896
rapport,1.5434480994878008
domaine,1.5432776210531913
point,1.5184636456836953
passer,1.5133905092324862
enjeu,1.5118182851091144
territoire,1.5016435318304089
prospective,1.4985533611179798
inhumation,1.4934726270793457
funéraille,1.484044626904091
fonction,1.4680869342303493
voir,1.4629276720918276
pompe,1.4618573167079354
important,1.4603396320897934
environnement,1.4579221910822768
expérience,1.4451143739774508
développement,1.4373020208620946
part,1.4304581849607028
conduire,1.4287110971770849
recherche,1.4221658408646844
répondre,1.4211069869112176
démarche,1.4094672941596083
funèbre,1.4024010309741946
manière,1.3948315442298653
sein,1.3870945907294414
choix,1.3854752074925478
priver,1.3854293003776592
terme,1.3811173842347793
administration,1.3608560862729409
corps,1.358413380497429
cas,1.3533140764817893
célébration,1.345146985507677
créer,1.3352868078841589
collectif,1.3342948110038286
accompagnement,1.332937520683543
processus,1.331383877804483
mobilité,1.3274077525763974
musulman,1.3254674252102174
proposer,1.3227162794236773
champ,1.3169339810940655
changement,1.3135816294479048
monde,1.3037637812546623
acteur,1.3010695715876854
donner,1.3005195094767208
infographie,1.2996173451709683
vous,1.295079177489667
réaliser,1.286521643187142
