,0
économie,6.84994783763635
économique,4.561166778818942
entreprise,4.325768824337613
ressource,3.7946447414227977
territoire,3.737650433638612
développement,3.6590186900405657
emploi,3.408487346911612
consommation,3.38617679199477
énergie,3.2467100607998005
proximité,2.9297530233427023
production,2.907717442235095
etc,2.6928567391271336
métropole,2.6611987755896034
local,2.5650994759072896
travail,2.5206867193440754
ville,2.520447865360809
activité,2.4844903999557517
service,2.4087412638720007
compétence,2.3729895036499364
circulaire,2.3618914056126403
touristique,2.3363316033505526
matière,2.3264063296625523
enjeu,2.3026483874964883
développer,2.270888947058391
besoin,2.266765374412226
faire,2.2371030646609906
produit,2.234041211580754
commerce,2.1949283316675636
flux,2.1820772147858625
bien,2.1595251804647946
modèle,2.157891851682185
nouveau,2.13491261628722
tourisme,2.1217140359319338
Lyon,2.052529835406367
énergétique,2.024594639422368
croissance,2.014726406726058
public,1.9641772296061983
être,1.9378616823504806
mettre,1.9307726062880661
grand,1.9079257711246778
proposer,1.8913398453115866
question,1.8851444580394
politique,1.8769266376055318
importation,1.8546473335158813
revenu,1.8463986626830227
social,1.8327170193214086
métabolisme,1.7974635289059095
hui,1.7629106743389356
lyonnais,1.7617773192795614
aujourd,1.7569973533375531
capacité,1.7502091683958139
mondial,1.7356395327299
robotique,1.7027076821553688
industriel,1.6620077795909867
exemple,1.6599677417616576
valeur,1.639158660650562
robot,1.6259423747176014
acteur,1.6229234883089296
étude,1.6172527361426559
marché,1.5986378450198084
point,1.5945908231654409
vie,1.5723522879228309
alimentaire,1.5493678655757626
constituer,1.538984826351506
projet,1.5349583555970332
action,1.5021997806943168
écologique,1.489074375016448
prendre,1.4889453409314384
manière,1.4746141763816747
permettre,1.4704256027881144
part,1.4418322938017512
territorial,1.43601280142692
soutenable,1.4244591536244722
essentiel,1.414204954395335
évolution,1.4047818265816416
mode,1.3988737052442715
formation,1.392550315091933
compétitivité,1.378198137419566
il,1.3742159667362859
environnemental,1.3730475974078757
approche,1.367866552246446
organisation,1.3667642415877166
partie,1.3649795979643262
système,1.3619089217221105
rapport,1.3579805734964474
levier,1.3533364512144188
impact,1.3506728868209663
offrir,1.3443524179699302
industrie,1.3423159937936024
pourcent,1.3371607239632037
ensemble,1.3354404422361368
changement,1.328508404112031
démarche,1.3136862048836684
français,1.3101541882556311
empreindre,1.2855928914702006
dernier,1.2846411310135686
résidentiel,1.2693803901765714
renouvelable,1.2631626367289406
région,1.2538116742121064
stratégie,1.24451279880932
falloir,1.2381662391441128
monde,1.2178099294233673
non,1.2172317971563231
technologique,1.2103721055880161
pays,1.2100659826520965
société,1.205081396719814
transition,1.189700439614461
année,1.1803603715421633
extraction,1.1746017952064256
bon,1.172317792609936
problématique,1.1707643848684908
urbain,1.1641762531606659
sens,1.1541958908365504
européen,1.1526979092566962
analyse,1.1521828921119837
naturel,1.1467170694046354
consommateur,1.1464755191158054
France,1.1423987281649495
terme,1.1334924899281826
concept,1.12069780605108
technologie,1.120050207516769
place,1.0986594080588965
agir,1.0948022541069793
dossier,1.0904043285822183
vision,1.0900526549791594
circuit,1.0870049147938101
attractiviter,1.0817066276457017
important,1.073311904371735
enseigne,1.0727432687432443
collectif,1.0696182699834818
outil,1.059264027716957
échelle,1.0587921678384815
fossile,1.0562421458030884
demande,1.0454446372251922
limite,1.0411426762767877
face,1.03980130573015
fort,1.0393280817102009
prospectif,1.0350304397979253
compte,1.0338030917528283
documentaire,1.0296160297826333
filière,1.0264434843097618
consommer,1.023344335144644
Europe,1.0218090646181304
pouvoir,1.016646966526439
environnement,1.016032130527591
insertion,1.0050239584039937
niveau,1.0040312713996387
viser,0.9929330469819597
collectivité,0.9915011936490397
matériel,0.9870391601774988
résilience,0.98544636385294
mesure,0.9844579274835432
usage,0.9753291554435164
souhaiter,0.9701521849417696
mise,0.9687767757507584
apparaître,0.9625481293628264
durable,0.9563867824172932
recyclage,0.9540180517358672
big,0.9531461296908963
dépense,0.9465730193019446
agglomération,0.9445585660238364
dépendance,0.9442795754170172
métier,0.9441337423707199
émission,0.9398444638209424
réduire,0.9376054741018269
fonctionnement,0.9299216095029335
fiche,0.917468248145296
transport,0.9172891250745568
lieu,0.9142667863382703
difficulté,0.9141874013303015
pôle,0.9124435937726885
opportunité,0.9073675714394835
homme,0.9063159789554145
réseau,0.9059369374133214
devenir,0.9034185901940519
technique,0.9029572522910042
plan,0.9014128492347583
juridique,0.901331801869862
management,0.9008794979402942
création,0.899386614592305
ailleurs,0.898628808877053
voir,0.8941712227579834
véhicule,0.8926821448528424
produire,0.892624483675701
synergie,0.89044131630442
savoir,0.8900440801794784
temps,0.8897768794098927
cadre,0.8879351972833022
exportateur,0.8873977179933986
pratique,0.886792619234982
Métropolitain,0.8849278233466894
relation,0.8812058311606659
innovation,0.8805585639730731
impliquer,0.8802054861223787
cler,0.8791990303377525
donner,0.8766799810936834
nature,0.8731014277353155
passer,0.8641630984652348
domestique,0.8580475805652058
plateforme,0.8556266744627401
recherche,0.8549450497979348
ici,0.853601785111293
défi,0.8510987206461971
lui,0.8476812899348097
mieux,0.8456202472192477
parer,0.8440243806484955
humain,0.8405604003638942
personne,0.8376946869400143
professionnel,0.8365310699582621
élément,0.8325060370459632
autour,0.8325019352928068
travers,0.8310316644889227
sein,0.8299068921916013
numérique,0.8283552790045777
climatique,0.8276262276783524
transformation,0.8272138607660501
condition,0.8264718806094414
réduction,0.8248476203617503
productif,0.8244578288610996
comprendre,0.8229099928498542
réflexion,0.8221392724769453
exportation,0.8206281975332057
santé,0.820160197976613
touriste,0.8200832807297709
richesse,0.8161237932708076
global,0.8098205231150106
relocalisation,0.8065905183427543
alimentation,0.8058192304375356
offre,0.8042167677200203
échange,0.8040140183433035
groupe,0.8016756246005348
risque,0.8013065709218613
cahier,0.7997251950909399
soutenabilité,0.7981968656344793
client,0.7978068544947436
appeler,0.7973182917338504
coopération,0.7950509562599624
fonction,0.7875077802158106
croissant,0.7875056910609685
agricole,0.7874245762265398
métal,0.7864998723188218
stratégique,0.7864303713840511
dynamique,0.7860153933270944
ménage,0.7837007785258158
captation,0.7801178776569733
nombre,0.7775449176474176
court,0.7764808237389436
venir,0.7749630910080197
déchet,0.7743858326183032
avenir,0.7743646672560238
dater,0.7732278276866478
logique,0.7709864585116362
répondre,0.7696044006970159
contribuer,0.7669152560426762
Rapports,0.7663361644687463
moyen,0.7652164426126887
représenter,0.7634240675862237
piste,0.7626524167209309
commerçant,0.7574674993102766
solution,0.7574325009664038
actif,0.7566960503772648
aborder,0.7550922715424976
essor,0.7487381484446085
évoquer,0.74535111235479
travailler,0.744584786143554
long,0.7417231654604722
conseil,0.7412835406905534
valoriser,0.7411632187374358
capter,0.7410990807742857
extérieur,0.7385172622367242
intelligence,0.7359100711997192
trouver,0.7351605346040722
vente,0.7298474673349349
commercial,0.7181330312548636
mobiliser,0.7175696879229203
sommaire,0.7165047490533364
note,0.7161810082815999
contribution,0.716157149477628
pression,0.7156523524239005
destination,0.7152632370656844
tendance,0.714362565034899
construire,0.7130300808294651
égard,0.7128811927191401
qualité,0.7122189452310003
satisfaire,0.7066916076386921
largement,0.7026251921123471
habitant,0.7019848160194623
écosystème,0.7004630875273095
secteur,0.6952968073076765
pertinent,0.6937851549207911
montrer,0.6905021669882305
biomasse,0.6876852048936147
situation,0.6835811475132129
programme,0.6773159720734107
moteur,0.6755332766705628
ajouter,0.6747237347851689
crise,0.6746934394587148
observer,0.672946093187062
solidaire,0.6692914273274329
frein,0.6669612555957202
beaucoup,0.6660998953956243
siècle,0.6634268649039964
force,0.6623655741790007
pétrole,0.6618718097476393
connaissance,0.6601785766219075
vous,0.6601412539235525
particulier,0.6596605823771826
définition,0.6587296661756296
majeur,0.6573659858494283
large,0.6527844054026427
entreprendre,0.6506500800517486
consister,0.6503303432632842
lien,0.6492546571252301
jouer,0.645809921640025
potentiel,0.6442157624884289
an,0.6417383132984172
chaine,0.6404435594637476
2013,0.6401126333689664
manager,0.6393819870035844
poids,0.6381304167551255
national,0.6373367850083406
effort,0.6347683177281991
party,0.634464185732564
information,0.633851151425873
auprès,0.6336035964361442
Autolib,0.6305609063525142
dispositif,0.6288506005176652
concerner,0.6270229662923504
