,0
entreprise,620
être,407
projet,348
faire,322
start,317
up,308
développement,280
grand,253
lyon,243
falloir,218
travail,216
nouveau,205
bien,200
social,199
public,198
mettre,197
territoire,196
innovation,190
entrepreneur,177
créer,176
développer,176
industriel,174
économique,173
marché,171
réseau,170
permettre,157
vous,155
besoin,154
pouvoir,153
aujourd,150
hui,149
activité,148
produit,146
beaucoup,144
entreprendre,143
production,143
acteur,143
pôle,139
local,135
etc,135
secteur,132
travailler,129
an,128
exemple,128
année,128
service,127
société,126
ville,125
industrie,125
enjeu,124
système,119
france,118
recherche,116
monde,116
emploi,115
avoir,114
temps,114
prendre,113
question,111
point,111
création,111
modèle,110
fort,109
entrepreneuriat,109
proposer,107
lyonnais,107
venir,104
savoir,104
voir,104
passer,100
démarche,98
politique,98
ressource,98
place,98
énergie,98
il,97
métropole,95
non,94
valeur,94
technologie,93
ce,92
métier,91
organisation,90
répondre,90
donner,88
sens,88
personne,88
manière,87
relation,87
important,85
outil,85
cas,85
ailleurs,84
devenir,84
part,84
croissance,84
trouver,83
chose,83
cadre,83
agir,81
économie,81
client,81
commerce,80
collectivité,79
compte,78
vouloir,78
étude,78
solution,77
risque,77
accompagner,77
bon,76
évolution,75
vie,75
forme,75
rôle,75
formation,74
numérique,74
structure,73
capacité,73
compétitivité,73
partie,72
porter,71
terme,71
idée,70
stratégie,70
international,69
berliet,69
fonds,69
rhône,68
niveau,68
compétence,68
financement,68
action,68
groupe,68
dernier,68
commercial,67
professionnel,67
aller,67
objectif,67
autour,66
innovant,66
association,66
moyen,66
type,66
impact,65
financier,64
fois,63
rapport,62
intérêt,61
collectif,61
domaine,61
expérience,61
réaliser,60
mise,60
business,60
premier,59
pourcent,59
condition,58
penser,58
dispositif,57
constituer,57
entrepreneurial,57
urbain,56
propre,56
arriver,56
dynamique,56
centre,56
paris,55
nombre,55
général,55
expliquer,55
sein,55
environnement,55
côté,54
technique,54
moment,54
parcours,54
région,54
aider,54
qualité,53
agglomération,53
auprès,53
mode,53
futur,53
textile,53
gestion,53
matière,53
devoir,52
priver,52
jour,52
écosystème,52
particulier,52
ensuite,52
ensemble,52
petit,52
offrir,52
apporter,51
espace,51
porteur,51
capital,50
approche,50
territorial,50
connaître,50
jeune,50
difficulté,50
lancer,49
fonctionner,49
ajouter,49
innover,49
face,49
français,49
concept,49
plateforme,49
partir,48
charge,48
contre,48
exister,48
concerner,48
intégrer,48
impliquer,47
comprendre,47
potentiel,47
saint,47
échelle,47
équipe,47
euro,47
transformation,47
conseil,47
affaire,47
plan,47
aide,46
contribuer,46
investissement,46
site,46
accompagnemer,46
national,46
accompagnement,45
pays,45
pratique,45
travers,45
processus,45
offre,44
engager,44
opportunité,44
salarié,44
fonction,44
vendre,44
milieu,44
vente,44
problème,44
lieu,44
chercheur,44
logique,44
technologique,44
alpes,44
départ,44
université,43
transport,43
problématique,43
information,43
mesure,43
insertion,43
partenaire,43
santé,42
lien,42
œuvre,42
programme,42
culturel,42
rencontrer,41
consommateur,41
ici,41
vraiment,41
partenariat,41
culture,40
synergie,40
école,40
histoire,40
changement,40
souhaiter,39
essentiel,39
jusqu,39
étape,39
trop,39
rse,39
échange,39
chercher,39
vite,39
assurer,38
autant,38
oui,38
phase,38
produire,38
000,38
difficile,38
vou,38
demain,38
demande,38
contexte,38
associer,37
présent,37
direction,37
humain,37
homme,37
grâce,37
organiser,37
entrer,37
levier,37
vision,37
chiffre,37
choix,37
logistique,37
vue,37
appuyer,36
énergétique,36
ouvrir,36
mieux,35
intéresser,35
commencer,35
soutien,35
analyse,35
vrai,35
conduire,35
laboratoire,35
champ,35
interview,35
personnel,35
tendance,35
concours,35
responsabilité,35
accès,35
conception,35
initiative,35
raison,34
début,34
réalité,34
commun,34
marketing,34
atelier,34
meilleur,34
construire,34
levée,34
lui,34
enseigne,34
mois,34
consommation,34
voire,33
lier,33
force,33
fondateur,33
particulièrement,33
achat,33
responsable,33
continuer,33
mission,33
financer,33
usine,33
opérateur,33
terrain,33
commande,33
véhicule,33
membre,33
appel,33
prise,33
sujet,32
réel,32
identifier,32
élément,32
investir,32
fin,32
vis,32
internet,32
dire,32
changer,32
critique,32
cours,32
communauté,32
situation,31
utiliser,31
large,31
alimentaire,31
évoluer,31
long,31
coût,31
stratégique,31
considérer,31
prix,31
sortir,31
viser,31
entrepôt,31
mobiliser,31
davantage,31
environnemental,31
investisseur,31
droit,30
filière,30
intéressant,30
adapter,30
voie,30
diversité,30
rester,30
camion,30
réponse,30
nécessaire,30
maison,30
ambition,30
classique,30
rencontre,30
suite,30
principe,29
ouvrier,29
chimie,29
court,29
incubateur,29
là,29
taille,29
jouer,29
implication,29
revenir,29
proximité,28
sûr,28
connaissance,28
président,28
évoquer,28
producteur,28
profil,28
simple,28
plateform,28
mal,28
partager,28
argent,28
chef,28
management,28
directeur,28
entendre,27
ligne,27
durable,27
aventure,27
défi,27
barter,27
lever,27
européen,27
époque,27
mouvement,27
rapidement,27
main,27
cœur,27
disposer,27
donne,27
réflexion,26
base,26
circuit,26
performance,26
mondial,26
regard,26
communication,26
porte,26
quotidien,26
appeler,26
tissu,26
largement,26
présenter,26
donnée,26
améliorer,26
ancien,26
capable,26
générer,25
rien,25
soutenir,25
confiance,25
cci,25
concevoir,25
résider,25
sous,25
expérimentation,25
véritable,25
poste,25
essayer,25
sorte,25
recrutement,25
firme,25
consister,25
sommaire,25
possibilité,25
poser,25
favoriser,25
flux,24
application,24
europe,24
avenir,24
fiche,24
amener,24
entretien,24
apprendre,24
statut,24
notion,24
inscrire,24
rendre,24
définition,24
demander,24
actuel,24
usage,24
on,24
gros,24
objet,24
repose,24
représenter,24
métropolitain,24
issu,24
circulaire,24
positionner,23
étudiant,23
jamais,23
facteur,23
loin,23
état,23
principal,23
participer,23
collaboratif,23
marius,23
résultat,23
expert,23
apparaître,23
actif,23
naître,23
situer,23
interroger,23
ingénieur,23
prospectif,23
grenoble,23
présence,23
définir,23
aucun,23
attente,22
million,22
traduire,22
majeur,22
masse,22
gérer,22
automobile,22
période,22
autonome,22
occuper,22
tâche,22
constater,22
global,22
imaginer,22
crise,22
bénéficier,22
prêt,22
décider,22
réussir,22
discours,22
finalement,22
facile,22
lorsqu,21
concurrence,21
effet,21
et,21
gagner,21
conscience,21
go,21
réussite,21
observer,21
fournisseur,21
mutation,21
différence,21
fonctionnement,21
habitant,21
famille,21
cook,21
poursuivre,21
réduire,21
régional,21
atteindre,21
image,21
retrouver,21
phénomène,21
transfert,21
valoriser,21
100,21
volonté,21
final,20
transition,20
accueillir,20
collaboration,20
prenant,20
citoyen,20
médical,20
esprit,20
aborder,20
norme,20
voiture,20
mener,20
party,20
pourtant,20
2015,20
femme,20
interne,20
usager,20
avantage,20
traditionnel,20
sociétal,20
toutefois,20
etat,20
franchise,20
heure,20
comptable,20
croissant,20
étudier,20
aspect,20
concrètement,20
pme,20
livraison,20
architecte,20
10,20
lumière,19
contrôle,19
domicile,19
efficace,19
machine,19
2016,19
bruno,19
dossier,19
loi,19
intelligence,19
gouvernance,19
peut,19
assurance,19
eau,19
croire,19
tenir,19
population,19
au,19
institut,19
privé,19
dirigeant,19
richesse,19
engagement,19
procédé,19
participation,19
dédier,19
dimension,18
marque,18
accélérateur,18
expertise,18
effort,18
acheter,18
forcément,18
finir,18
structurer,18
source,18
critère,18
relever,18
extérieur,18
logement,18
choisir,18
20,18
toucher,18
horizon,18
spécialiser,18
évidence,18
clé,18
construction,18
cler,18
axelera,18
revanche,18
sur,18
distribution,18
leader,18
supérieur,18
patron,18
fortement,18
contrat,18
contact,18
intervenir,18
faciliter,18
opération,17
puissance,17
recruter,17
rassembler,17
compliquer,17
fond,17
monter,17
2014,17
rupture,17
tech,17
tester,17
concentrer,17
axeleo,17
révolution,17
réunir,17
physique,17
individu,17
individuel,17
uniquement,17
américain,17
établissement,17
précisément,17
père,17
augmenter,17
informatique,17
implanter,17
moteur,17
mécanique,17
process,17
logiciel,17
chaîne,17
posture,17
élargir,17
volume,17
joue,17
disparaître,17
delà,17
envier,17
frein,16
exigence,16
caractère,16
marchandise,16
avancer,16
french,16
montée,16
passage,16
in,16
évidemment,16
multiple,16
révéler,16
attendre,16
sélection,16
infrastructure,16
préparer,16
regarder,16
historique,16
maîtrise,16
bureau,16
effectivement,16
écologie,16
suivre,16
généralement,16
amélioration,16
durée,16
récemment,16
attention,16
design,16
inria,16
perdre,16
former,16
disposition,16
universitaire,16
magasin,16
arty,16
étranger,16
exprimer,16
nan,16
nature,16
intégration,16
cybersécurité,16
priorité,16
lutb,16
unis,16
accélérer,16
volet,16
parler,16
etienne,16
haut,16
ancrage,16
opérationnel,16
imposer,16
banque,16
crowdfunding,16
importance,16
solidaire,16
naturel,15
guerre,15
rapide,15
eric,15
enseignement,15
val,15
origine,15
brevet,15
co,15
accélération,15
nécessité,15
direct,15
conséquent,15
accéder,15
ressort,15
bout,15
enjeux,15
consacrer,15
utilisateur,15
débat,15
siècle,15
vocation,15
positionnement,15
adopter,15
positif,15
thématique,15
farty,15
favorable,15
démarrer,15
dialogue,15
boîte,15
