,0
start,48
up,48
producteur,24
local,22
circuit,21
innovation,19
lyon,19
alimentaire,18
être,17
solution,16
consommateur,15
pouvoir,14
court,14
ferme,13
faire,13
territoire,13
nouveau,12
développement,12
production,12
plante,11
groupe,11
projet,11
agriculture,11
produit,11
système,11
secteur,10
urbaine,10
développer,10
ful,10
grand,10
vous,9
alimentation,9
travailler,9
point,8
créer,8
étude,8
agir,8
bien,8
ville,8
permettre,8
marché,8
amap,8
oui,7
professionnel,7
grossiste,7
entreprise,7
ensemble,7
approvisionnemer,7
cadre,7
falloir,7
question,7
venir,7
parcours,7
économique,7
outil,7
porter,6
répondre,6
diversité,6
an,6
enseignemer,6
innovant,6
temps,6
relation,6
recherche,6
premier,6
lyonnais,6
service,6
proposer,6
comprendre,6
urbain,6
étape,5
impact,5
place,5
direct,5
rôle,5
énergie,5
structure,5
aujourd,5
réaliser,5
dispositif,5
etc,5
fois,5
activité,5
niveau,5
accompagnement,5
expliquer,5
exister,5
présent,5
offrir,5
mettre,5
revenir,5
métropole,5
hui,5
ce,4
technologie,4
pays,4
tendance,4
produire,4
idée,4
thématique,4
mener,4
sujet,4
fonctionner,4
collectivité,4
restaurateur,4
indoor,4
potentiel,4
in,4
france,4
français,4
exemple,4
entreprendre,4
enseignement,4
intéressant,4
restauration,4
consommation,4
démarche,4
rhône,4
ruche,4
distribution,4
pratique,4
lancer,4
régional,4
contrôler,4
livraison,4
mois,4
serre,4
appel,4
besoin,4
autour,4
non,4
assurtech,4
organiser,4
type,4
vente,4
vrai,4
origine,4
acheter,4
avoir,4
volonté,3
initiative,3
rapprocher,3
rapport,3
insa,3
association,3
arriver,3
innover,3
agriculteur,3
objectif,3
fiche,3
situer,3
associé,3
petit,3
sein,3
lyonnaise,3
sommaire,3
commencer,3
qualité,3
collectif,3
sorte,3
acteur,3
nord,3
achat,3
client,3
exigence,3
usage,3
aider,3
différence,3
opérateur,3
défi,3
isara,3
domicile,3
année,3
document,3
monde,3
jour,3
direction,3
inventer,3
application,3
dire,3
intérêt,3
intéresser,3
difficile,3
mal,3
ambition,3
réseau,3
demande,3
enjeu,3
naître,3
côté,3
culture,3
approvisionner,3
rendement,3
entrepreneuriat,3
air,3
espace,3
essayer,3
reconfiguration,3
classique,3
métropolitain,3
fonds,3
suite,3
profil,3
charge,3
tissu,3
particulier,3
proximité,3
process,3
terroirs,3
part,3
mise,3
partenaire,3
cartographie,3
canal,3
technologique,3
terme,3
propre,3
uniquement,3
écosystème,3
moment,3
modèle,3
étudier,3
multiplier,3
incubateur,3
accès,3
penser,3
bon,3
dérouler,2
engager,2
évoquer,2
intégrer,2
interview,2
viser,2
engagement,2
propos,2
nécessaire,2
analyse,2
productivité,2
enquête,2
porteur,2
gérer,2
décrypter,2
alimenter,2
ensembl,2
définition,2
2017,2
démocratiser,2
obligatoire,2
étudiant,2
optimiser,2
améliorer,2
ici,2
développé,2
vis,2
effectuer,2
amener,2
évoluer,2
programme,2
prospectif,2
hybride,2
humain,2
départ,2
ressort,2
responsable,2
polyculture,2
général,2
pose,2
rencontrer,2
présentation,2
ingénieur,2
préférer,2
informel,2
adresser,2
accompagnemer,2
accompagner,2
dynamique,2
filière,2
frais,2
industrie,2
financement,2
nombre,2
fournir,2
public,2
vue,2
pourcent,2
fintech,2
