,0
agriculteur,0.500784621251431
mangeur,0.49967142294956624
Ascher,0.3316389075588739
cuisine,0.29479919893243484
personnage,0.26748417413871955
hypermodern,0.2553170535790996
agricole,0.2342236705660174
nourriture,0.23196834955832868
viande,0.22882909891879685
François,0.22549159763117035
alimentaire,0.2071728675523382
food,0.19519391266954372
restaurant,0.19385916083708885
goût,0.19257252310514933
champignon,0.18962874964000945
gras,0.18794471079607697
protéine,0.18794471079607697
terre,0.1876554419022463
alimentation,0.18707685777004235
aliment,0.17753871111808203
agriculture,0.17260260443714665
devenir,0.16917717097803495
manger,0.16325247878959798
époque,0.16017689092109075
siècle,0.1520746986487442
assiette,0.14315229607955543
animal,0.1399023838794044
évidemment,0.13606745006204027
paysan,0.13431409508675343
plante,0.13404670797486037
fermier,0.1334200765483013
repas,0.13301032141865338
hui,0.1326044075113066
aujourd,0.13245268275138375
végétal,0.13161859221320124
algue,0.13140030741819203
fiction,0.13118281554127556
multiplication,0.12954071992016858
gastronomique,0.12818069616330452
humain,0.12462498537404956
monde,0.12427363771347363
planète,0.12392881042699648
chef,0.12282585954085987
ferme,0.11554946843064191
vie,0.11548096042152345
exemple,0.11437410738514586
exploitation,0.11434724730556584
humanité,0.11325718772193022
voir,0.110316530408183
Adrià,0.1094215943910427
grâce,0.10501414023446493
Foods,0.10381562350266739
fonction,0.09819739740862178
nourricier,0.09808306949287786
plastique,0.09768006973632944
restauration,0.09749563576442938
élevage,0.09736986438182796
pouvoir,0.09458953893098473
métier,0.0945807523915213
partir,0.09437007980171802
génétique,0.09421549794420281
nouveau,0.09170861329745186
Amérique,0.09146030186477042
1857,0.0908767444016035
avènement,0.09033375767498947
vitro,0.08954898188098137
poisson,0.08837478876884355
pratique,0.08802106731195602
livraison,0.08793377139720572
moléculaire,0.0873577423544893
acide,0.08581312613734206
simplicité,0.08240822629411866
label,0.08197612421340174
sol,0.0817086359582016
insecte,0.08167766788530952
maïs,0.08167766788530952
futur,0.08090301605190234
glaneur,0.07910642946132047
Millet,0.07910642946132047
peinte,0.07910642946132047
Stardew,0.07910642946132047
automatisation,0.07778585902563964
produit,0.07751554469528273
culinaire,0.07657499648340116
produire,0.07652425996704976
emballage,0.07528234025929534
Gilgamesh,0.07509425459723285
petit,0.07330508693237243
ferran,0.07294772959402847
émission,0.0728412727820924
3d,0.07267641920264685
paysannerie,0.07224757122828619
rat,0.07224757122828619
miroir,0.07191198086813677
Igor,0.07039720415316443
crise,0.07019179280240509
fibre,0.06954467502606718
Hypermoderne,0.06924791594977178
vitamine,0.06921041566844492
frire,0.06921041566844492
aquacultur,0.06921041566844492
Meat,0.06921041566844492
bacon,0.06921041566844492
impression,0.06919301593055154
respectueux,0.0687045628100271
écriture,0.06867933977544846
heure,0.0684533594175199
sauvage,0.06835116653560949
citadin,0.06793080161797158
technique,0.06790596832487085
2005,0.06747117625344726
disparition,0.06721820744422358
grand,0.06671736230476957
Vert,0.06671003827415065
divinité,0.06671003827415065
mange,0.06662285639327549
scène,0.06596621136308284
mode,0.06580324269774587
lipide,0.06570015370909602
Asie,0.06536941294113988
sain,0.06524570949194322
xx,0.065098144591439
nourrir,0.0647308375012787
année,0.06450780277187981
impact,0.0641870095161611
thème,0.0639671436809151
champ,0.06335837061559423
Valley,0.06318065383118868
propre,0.06215590399149826
révolution,0.06191126346396397
ancestral,0.06131118200150319
tendance,0.06128137554255282
steak,0.06127774665332517
tôt,0.06120209530731961
vidéo,0.060743205691502086
jeu,0.060557243748369835
ville,0.06048965268098882
créer,0.06043605388555018
composition,0.060313578629213466
guide,0.060184120987437965
cruauté,0.059699321253987574
comestible,0.059699321253987574
verticale,0.059699321253987574
constat,0.059301099275571346
récolte,0.05916847896710105
être,0.05905673847100372
environnement,0.05879215717466772
rural,0.05877997060083918
texture,0.058364781594261665
amer,0.058364781594261665
fin,0.05836251168236
imaginer,0.05833696235803046
ouvrage,0.05829833713946638
Odile,0.05826182881259999
jusqu,0.05822987893995818
table,0.05809364688721579
subsister,0.05792995953342316
simple,0.057721404691852246
Demain,0.057364363267076654
antique,0.057364363267076654
désagréable,0.05720875075822804
identité,0.05717636459376079
peur,0.056972621921902666
médiéval,0.05679501281624781
fast,0.05676937150540835
